270:    "textPayload": "+ python3 -u payload.py --bootstrap-code --install-deps --base-matrix-uri=gs://omega_v52_central/omega/staging/base_matrix/v60/resume_aa8abb7/base_matrix.parquet --n-trials=50 --min-samples=2000 --seed=42 --output-uri=gs://omega_v52_central/omega/staging/optimization/v60/20260219-030000_aa8abb7/swarm_best.json",
2426:    "textPayload": "Loading Base Matrix into RAM: /base_matrix.parquet",
2470:    "textPayload": "[I 2026-02-19 03:20:49,721] Trial 0 pruned. Physics collapse too severe. Insufficient signals.",
2492:    "textPayload": "[I 2026-02-19 03:20:49,817] Trial 1 pruned. Physics collapse too severe. Insufficient signals.",
2514:    "textPayload": "[I 2026-02-19 03:20:49,914] Trial 2 pruned. Physics collapse too severe. Insufficient signals.",
2536:    "textPayload": "[I 2026-02-19 03:20:50,007] Trial 3 pruned. Physics collapse too severe. Insufficient signals.",
2558:    "textPayload": "[I 2026-02-19 03:20:50,103] Trial 4 pruned. Physics collapse too severe. Insufficient signals.",
2580:    "textPayload": "[I 2026-02-19 03:20:50,189] Trial 5 pruned. Physics collapse too severe. Insufficient signals.",
2602:    "textPayload": "[I 2026-02-19 03:20:50,283] Trial 6 pruned. Physics collapse too severe. Insufficient signals.",
2624:    "textPayload": "[I 2026-02-19 03:20:50,374] Trial 7 pruned. Physics collapse too severe. Insufficient signals.",
2646:    "textPayload": "[I 2026-02-19 03:20:50,467] Trial 8 pruned. Physics collapse too severe. Insufficient signals.",
2668:    "textPayload": "[I 2026-02-19 03:20:50,560] Trial 9 pruned. Physics collapse too severe. Insufficient signals.",
2690:    "textPayload": "[I 2026-02-19 03:20:52,408] Trial 10 finished with value: 0.5654896532764886 and parameters: {'peace_threshold': 0.3373677907759919, 'srl_resid_sigma_mult': 1.3326356014894118, 'topo_energy_sigma_mult': 3.0383511234389857, 'max_depth': 7, 'learning_rate': 0.015817566588447754, 'subsample': 0.9927930003170996, 'colsample_bytree': 0.6054983291789089}. Best is trial 10 with value: 0.5654896532764886.",
2712:    "textPayload": "[I 2026-02-19 03:20:55,531] Trial 11 finished with value: 0.5607162584318046 and parameters: {'peace_threshold': 0.30160439148356666, 'srl_resid_sigma_mult': 1.3164962156190987, 'topo_energy_sigma_mult': 2.6368238389261625, 'max_depth': 7, 'learning_rate': 0.015867957910748354, 'subsample': 0.9936961443368941, 'colsample_bytree': 0.6029641975778192}. Best is trial 10 with value: 0.5654896532764886.",
2734:    "textPayload": "[I 2026-02-19 03:20:58,444] Trial 12 finished with value: 0.5553998263153069 and parameters: {'peace_threshold': 0.3227636748411618, 'srl_resid_sigma_mult': 1.073016449716213, 'topo_energy_sigma_mult': 2.070428523717874, 'max_depth': 7, 'learning_rate': 0.012049787974989136, 'subsample': 0.6070111455018068, 'colsample_bytree': 0.6119345013948678}. Best is trial 10 with value: 0.5654896532764886.",
2756:    "textPayload": "[I 2026-02-19 03:21:00,102] Trial 13 finished with value: 0.5563715978790658 and parameters: {'peace_threshold': 0.44491900137501084, 'srl_resid_sigma_mult': 2.4972315391927644, 'topo_energy_sigma_mult': 2.231624223307584, 'max_depth': 7, 'learning_rate': 0.015326537291711722, 'subsample': 0.9920859173337643, 'colsample_bytree': 0.6006721659817366}. Best is trial 10 with value: 0.5654896532764886.",
2778:    "textPayload": "[I 2026-02-19 03:21:00,195] Trial 14 pruned. Physics collapse too severe. Insufficient signals.",
2800:    "textPayload": "[I 2026-02-19 03:21:00,831] Trial 15 finished with value: 0.5752291664850757 and parameters: {'peace_threshold': 0.5655631326200726, 'srl_resid_sigma_mult': 1.8196476786009002, 'topo_energy_sigma_mult': 4.329754095342601, 'max_depth': 6, 'learning_rate': 0.007600940347097257, 'subsample': 0.9259783624244668, 'colsample_bytree': 0.6706508128403437}. Best is trial 15 with value: 0.5752291664850757.",
2822:    "textPayload": "[I 2026-02-19 03:21:00,918] Trial 16 pruned. Physics collapse too severe. Insufficient signals.",
2844:    "textPayload": "[I 2026-02-19 03:21:01,768] Trial 17 finished with value: 0.56734888940245 and parameters: {'peace_threshold': 0.419872717379817, 'srl_resid_sigma_mult': 1.9827471258358362, 'topo_energy_sigma_mult': 4.347412579100048, 'max_depth': 6, 'learning_rate': 0.008516173055229209, 'subsample': 0.8812921477523739, 'colsample_bytree': 0.7348050246485016}. Best is trial 15 with value: 0.5752291664850757.",
2866:    "textPayload": "[I 2026-02-19 03:21:01,862] Trial 18 pruned. Physics collapse too severe. Insufficient signals.",
2888:    "textPayload": "[I 2026-02-19 03:21:01,952] Trial 19 pruned. Physics collapse too severe. Insufficient signals.",
